303-026 17.537
DAO023  15.845
305-D02 15.449
306-029 12.710
DAO025  15.499
DAO027  16.450
435-D02 14.695
307-030 14.878
309-031 15.350
311-033 12.909
312-035 12.873
313-036 13.278
314-037 15.591
315-038 14.550
DAO030  16.078
316-040 15.438
317-041 14.741
318-042 15.495
002-043 15.719
003-045 15.462
321-046 14.998
442-D03 15.393
325-000 14.713
327-053 14.383
328-054 14.590
008-060 14.237
010-062 14.740
012-064 12.922
448-D03 16.181
014-B22 14.445
335-H13 14.449
449-H11 15.664
016-066 14.662
451-D03 15.324
452-069 15.557
017-070 12.811
018-071 14.964
DAO040  15.950
338-076 11.685
021-075 14.293
022-074 15.420
341-081 13.828
024-082 14.148
025-084 14.085
026-086 14.471
028-088 14.562
029-090 13.430
030-091 13.488
031-092 14.677
456-D04 15.277
032-093 14.099
DAO046  16.029
342-094 16.942
033-095 15.405
034-096 12.610
DAO047  15.947
035-000 14.615
036-000 14.538
037-000 11.153
038-098 13.836
039-101 12.591
040-102 15.721
041-103 15.944
042-104 12.267
043-106 14.949
044-107 13.602
045-108 13.115
458-D04 15.664
048-110 13.502
047-111 15.372
049-112 15.168
050-113 14.033
053-000 15.976
055-116 13.062
056-117 13.742
057-118 15.475
058-119 12.468
059-120 14.175
060-121 14.504
061-122 13.217
062-123 14.165
063-124 12.170
065-126 14.638
066-128 16.058
344-127 13.554
067-129 15.368
069-132 16.764
070-133 14.540
071-000 14.937
072-000 13.318
074-135 14.428
075-136 15.017
DAO053  15.512
076-138 14.598
DAO054  15.404
077-139 14.335
079-000 13.815
078-140 14.078
080-141 14.014
081-142 14.077
345-143 14.490
082-144 11.533
083-146 15.041
084-000 14.840
085-147 14.678
086-148 13.026
346-149 13.898
088-150 12.470
090-000 15.361
089-000 17.166
091-151 15.677
348-153 14.162
347-154 14.500
093-155 13.916
095-157 13.238
096-158 12.953
NB23    14.071
NB83    14.776
098-000 13.574
097-159 14.013
463-160 14.764
099-161 14.402
350-162 14.609
100-163 15.163
101-164 14.253
NB65    13.847
102-000 14.859
104-000 15.548
106-168 13.357
107-169 14.640
108-167 14.315
NB81    14.253
NB61    14.024
109-170 13.139
110-172 12.389
NB16    15.156
260-000 14.009
112-174 12.896
111-173 14.529
NB67    14.572
114-175 14.011
117-176 14.295
115-177 12.595
NB17    15.328
116-178 12.753
NB29    13.891
118-000 13.627
119-000 14.453
NB68    13.565
NB21    14.359
NB74    12.699
NB25    13.486
NB91    13.775
122-181 13.799
123-182 14.657
125-183 14.530
DAO055  16.608
126-184 14.543
127-185 11.616
353-CFA 11.495
128-187 14.025
129-000 12.408
130-188 13.966
131-189 12.511
134-190 13.949
135-192 13.293
355-193 16.041
136-194 14.648
137-195 14.542
138-000 13.694
141-197 14.211
143-198 12.869
465-D05 15.521
145-000 15.664
146-000 14.227
148-200 13.338
149-201 14.162
268-000 15.087
150-203 13.546
152-207 13.339
356-206 14.444
153-000 15.586
154-208 13.865
357-209 13.884
155-210 14.747
156-211 14.583
157-212 15.062
158-213 11.843
159-000 14.395
161-215 13.808
162-216 14.474
163-217 11.872
164-B25 14.528
165-218 14.450
166-000 15.052
167-000 14.308
168-000 13.785
169-000 14.066
170-221 14.707
DAO060  12.963
171-222 12.141
172-223 13.883
DAO062  13.045
173-224 14.830
174-226 12.817
176-227 14.782
177-228 15.705
178-229 12.858
181-232 14.091
184-236 14.115
187-237 14.617
188-239 14.917
189-240 13.947
190-241 14.531
194-243 14.966
193-244 12.337
196-246 14.824
195-000 16.235
472-D06 15.973
199-248 15.406
197-247 14.476
198-249 15.474
200-000 15.701
202-251 15.308
203-252 14.178
361-255 14.997
205-256 12.859
206-257 12.626
207-258 15.141
208-259 15.051
209-261 14.236
210-000 15.596
211-262 16.032
214-265 15.163
215-266 14.354
216-267 15.341
217-269 13.891
218-272 12.053
219-271 13.746
363-274 15.988
220-275 14.560
221-276 14.252
222-277 14.745
223-278 16.042
473-000 15.436
279-D06 14.680
225-280 11.175
226-000 14.697
227-000 14.276
228-281 14.026
229-282 15.163
DAO069  15.733
230-283 14.043
231-285 14.917
233-287 15.798
234-290 14.135
283-296 15.296
475-H12 15.086
235-297 13.476
476-000 15.820
477-000 17.074
236-298 15.476
237-299 15.404
370-300 13.727
238-301 13.942
239-000 14.687
371-303 15.888
373-305 12.595
374-306 16.367
375-307 14.931
480-000 15.757
376-309 16.020
484-310 15.628
378-311 15.598
381-315 15.509
382-317 15.134
383-318 12.796
385-321 15.117
389-326 13.889
391-328 14.885
392-329 18.052
2m020   14.928
2m023   16.109
2m024   15.555
2m026   15.264
2m030   16.402
2m031   15.496
2m032   16.323
2m049   16.253
2m050   14.353
2m051   16.285
2m052   15.447
2m053   14.358
2m056   14.113
2m060   14.676
2m073   14.215
2m074   14.599
2m085   13.952
2m096   13.856
2m106   13.158
2m134   15.930
2m135   14.766
2m138   15.380
2m139   14.731
2m140   15.799
2m142   14.235
2m149   15.383
2m152   15.202
2m153   13.821
2m155   14.318
2m158   14.411
2m159   12.450
2m160   13.748
2m161   14.340
2m164   15.850
2m165   13.790
2m168   15.191
2m173   13.946
2m177   10.885
2m180   15.479
2m185   14.967
2m186   14.936
2m187   14.743
2m190   13.951
2m192   14.573
2m193   15.961
2m195   14.510
2m198   14.868
2m203   14.840
2m206   14.539
2m208   12.971
2m210   11.828
2m211   13.691
2m212   16.988
2m213   14.983
2m216   14.957
2m217   12.580
2m218   11.874
2m220   11.714
2m221   14.392
2m223   12.185
2m225   10.749
2m227   14.995
2m230   14.141
2m232   13.752
2m234   15.137
2m236   15.050
2m237   14.379
2m241   12.266
2m244   16.833
2m270   14.177
2m285   14.558
2m300   15.722
2m307   16.180
2m309   16.052
2m334   15.562
2m342   15.141
2m343   14.860
2m346   13.875
2m347   16.212
